cat_type,category,subcategory,Fiscal 2020/21 Q1,Fiscal 2020/21 Q2,Fiscal 2020/21 Q3,Fiscal 2020/21 Q4,Fiscal 2021/22 Q1
Wine,Portugal Wine,Portugal Sparkling Wine,"$4,340","$8,177","$3,734","$4,625","$8,450"
Wine,Portugal Wine,Portugal White Wine,"$642,663","$631,556","$438,023","$408,919","$633,842"
Wine,Sake,Japan Sake,"$1,114,793","$1,629,973","$1,721,885","$1,860,796","$1,610,637"
Wine,Sake,Other Country Sake,"$55,112","$79,045","$68,894","$77,250","$83,479"
Wine,Sake,USA Sake,"$532,065","$597,273","$723,242","$740,547","$603,235"
Wine,South Africa Wine,South Africa Fruit and Dessert Wine,$0,$0,"$3,239","$6,934",$0
Wine,South Africa Wine,South Africa Red Wine,"$1,232,982","$1,055,302","$1,401,413","$1,290,499","$1,139,683"
Wine,South Africa Wine,South Africa Rose Wine,"$102,750","$104,831","$29,733","$9,108","$94,504"
Wine,South Africa Wine,South Africa Sparkling Wine,"$5,280","$4,763","$4,536","$5,198","$5,597"
Wine,South Africa Wine,South Africa White Wine,"$942,671","$796,226","$912,745","$895,251","$1,041,338"
Wine,Spain Wine,Spain Fruit and Dessert Wine,"$6,542","$6,083","$6,391","$5,610","$9,179"
Wine,Spain Wine,Spain Red Wine,"$4,680,129","$5,116,636","$4,807,732","$4,881,870","$4,666,716"
Wine,Spain Wine,Spain Rose Wine,"$438,121","$556,178","$187,952","$295,574","$407,345"
Wine,Spain Wine,Spain Sparkling Wine,"$936,605","$1,106,640","$1,806,530","$925,529","$1,087,464"
Wine,Spain Wine,Spain White Wine,"$619,713","$857,034","$426,949","$717,705","$667,695"
Wine,USA Wine,USA Fruit and Dessert Wine,$530,"$2,373","$1,451","$1,297",$771
Wine,USA Wine,USA Red Wine,"$22,388,968","$22,586,564","$35,574,725","$22,399,628","$25,016,692"
Wine,USA Wine,USA Rose Wine,"$1,919,131","$1,506,179","$1,263,805","$1,009,161","$1,807,846"
Wine,USA Wine,USA Sparkling Wine,"$232,437","$275,146","$392,209","$258,367","$333,185"
Wine,USA Wine,USA White Wine,"$6,770,335","$7,036,706","$6,972,599","$5,653,708","$6,820,735"
